model,fold,auc_roc,accuracy,f1,precision,recall
LogisticRegression,1,0.742586,0.7375,0.833992,0.937778,0.75089
LogisticRegression,2,0.728899,0.709375,0.811359,0.943396,0.711744
LogisticRegression,3,0.795625,0.740625,0.831643,0.962441,0.732143
LogisticRegression,4,0.797143,0.725,0.821862,0.948598,0.725
LogisticRegression,5,0.787857,0.74375,0.835341,0.954128,0.742857
XGBoost,1,0.755817,0.875,0.929825,0.916955,0.94306
XGBoost,2,0.7633,0.896875,0.943005,0.916107,0.97153
XGBoost,3,0.779732,0.8875,0.9375,0.912162,0.964286
XGBoost,4,0.835089,0.90625,0.947735,0.92517,0.971429
XGBoost,5,0.801607,0.896875,0.942004,0.927336,0.957143
LightGBM,1,0.746966,0.88125,0.934483,0.906355,0.964413
LightGBM,2,0.765307,0.8875,0.938144,0.906977,0.97153
LightGBM,3,0.783571,0.89375,0.941581,0.907285,0.978571
LightGBM,4,0.826071,0.89375,0.941781,0.904605,0.982143
LightGBM,5,0.813929,0.890625,0.939551,0.909699,0.971429
CatBoost,1,0.733096,0.875,0.930314,0.911263,0.950178
CatBoost,2,0.754357,0.884375,0.936317,0.906667,0.967972
CatBoost,3,0.797411,0.890625,0.938918,0.918089,0.960714
CatBoost,4,0.811161,0.9,0.944251,0.921769,0.967857
CatBoost,5,0.809821,0.9,0.944444,0.918919,0.971429
Stacking,1,0.750342,0.81875,0.892193,0.933852,0.854093
Stacking,2,0.763665,0.834375,0.900935,0.948819,0.857651
Stacking,3,0.796161,0.840625,0.904673,0.94902,0.864286
Stacking,4,0.826875,0.84375,0.90566,0.96,0.857143
Stacking,5,0.817232,0.84375,0.90566,0.96,0.857143
