feature,type
Age,numerical
Income,numerical
AdSpend,numerical
ClickThroughRate,numerical
ConversionRate,numerical
WebsiteVisits,numerical
PagesPerVisit,numerical
TimeOnSite,numerical
SocialShares,numerical
EmailOpens,numerical
EmailClicks,numerical
PreviousPurchases,numerical
LoyaltyPoints,numerical
CostPerVisit,numerical
CostPerClick,numerical
EmailEngagementRate,numerical
CustomerValue,numerical
IncomeToAdSpend,numerical
SiteEngagementScore,numerical
SocialAmplification,numerical
CTR_x_PagesPerVisit,numerical
Gender_Male,categorical_encoded
CampaignChannel_PPC,categorical_encoded
CampaignChannel_Referral,categorical_encoded
CampaignChannel_SEO,categorical_encoded
CampaignChannel_Social Media,categorical_encoded
CampaignType_Consideration,categorical_encoded
CampaignType_Conversion,categorical_encoded
CampaignType_Retention,categorical_encoded
